"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Управление сценариями GET","0","Сценарий Get (создать - получить сущность)","0","0","","0"
"1","Управление сценариями PATCH","0","","0","0","","0"
"1","Управление сценариями PATCH","0","Сценарий PATCH (создать - обновить данные)","0","0","","0"
"1","Управление сценариями POST","0","Сценарий POST (создать - удалить)","0","0","","0"
"1","Управление сценариями POST","0","","0","0","","0"
"2","Управление сценариями GET","0","","0","0","","0"
"1","Управление сценариями GET","0","Сценарий GetAll (создать - получить все сущности)","0","0","","0"
